Enc100(micros)	Dec100(micros)
Enc: 6285	Dec: 4985
Enc: 6209	Dec: 4967
Enc: 6188	Dec: 4980
Enc: 6196	Dec: 4947
Enc: 6213	Dec: 4973
Enc: 6228	Dec: 4958
Enc: 6214	Dec: 5072
Enc: 6257	Dec: 5029
Enc: 6332	Dec: 5008
Enc: 6286	Dec: 4990
Enc: 6284	Dec: 5037
Enc: 6258	Dec: 5023
Enc: 6341	Dec: 4959
Enc: 6672	Dec: 5155
Enc: 6250	Dec: 4953
Enc: 6234	Dec: 4931
Enc: 6229	Dec: 5140
Enc: 6252	Dec: 4973
Enc: 6338	Dec: 4948
Enc: 6230	Dec: 4987
Enc: 6221	Dec: 4928
Enc: 6206	Dec: 5490
Enc: 6344	Dec: 4959
Enc: 6233	Dec: 4955
Enc: 6250	Dec: 4994
Enc: 6973	Dec: 8521
Enc: 7481	Dec: 4988
Enc: 6218	Dec: 4968
Enc: 6281	Dec: 5052
Enc: 6238	Dec: 4967
Enc: 6222	Dec: 4935
Enc: 6219	Dec: 4966
Enc: 6217	Dec: 4955
Enc: 6213	Dec: 4934
Enc: 6230	Dec: 4973
Enc: 6229	Dec: 4952
Enc: 6202	Dec: 4978
Enc: 6216	Dec: 4925
Enc: 6211	Dec: 4941
Enc: 6216	Dec: 4928
Enc: 6221	Dec: 4988
Enc: 6214	Dec: 4960
Enc: 6231	Dec: 4951
Enc: 6211	Dec: 4939
Enc: 6222	Dec: 4905
Enc: 6209	Dec: 4934
Enc: 6209	Dec: 4959
Enc: 6223	Dec: 4984
Enc: 6216	Dec: 4981
Enc: 6217	Dec: 4963
Enc: 6221	Dec: 4954
Enc: 6226	Dec: 4934
Enc: 6224	Dec: 4977
Enc: 6217	Dec: 4940
Enc: 6218	Dec: 4912
Enc: 6212	Dec: 4986
Enc: 6230	Dec: 4969
Enc: 6237	Dec: 4967
Enc: 6224	Dec: 4925
Enc: 6218	Dec: 4948
Enc: 6224	Dec: 4988
Enc: 6196	Dec: 4945
Enc: 6208	Dec: 4925
Enc: 6202	Dec: 4928
Enc: 6188	Dec: 4990
Enc: 6218	Dec: 4960
Enc: 6217	Dec: 4942
Enc: 6217	Dec: 4968
Enc: 6220	Dec: 4955
Enc: 6204	Dec: 5001
Enc: 6214	Dec: 4941
Enc: 6207	Dec: 4926
Enc: 6217	Dec: 4966
Enc: 6231	Dec: 4931
Enc: 6224	Dec: 4987
Enc: 6221	Dec: 4986
Enc: 6218	Dec: 4998
Enc: 6217	Dec: 4973
Enc: 6226	Dec: 4947
Enc: 6228	Dec: 4967
Enc: 6232	Dec: 4986
Enc: 6236	Dec: 5022
Enc: 6901	Dec: 5488
Enc: 6220	Dec: 5371
Enc: 6263	Dec: 4976
Enc: 6224	Dec: 4914
Enc: 6471	Dec: 4993
Enc: 6381	Dec: 5411
Enc: 7027	Dec: 5611
Enc: 6789	Dec: 5586
Enc: 7056	Dec: 5575
Enc: 7006	Dec: 5711
Enc: 7110	Dec: 5527
Enc: 6274	Dec: 5007
Enc: 6307	Dec: 5013
Enc: 6291	Dec: 5019
Enc: 6302	Dec: 5053
Enc: 6201	Dec: 5015
Enc: 6249	Dec: 4978
Enc: 6221	Dec: 4950
