Enc100(micros)	Dec100(micros)
Enc: 343	Dec: 315
Enc: 313	Dec: 321
Enc: 314	Dec: 315
Enc: 318	Dec: 315
Enc: 313	Dec: 328
Enc: 354	Dec: 326
Enc: 338	Dec: 386
Enc: 333	Dec: 325
Enc: 332	Dec: 325
Enc: 332	Dec: 325
Enc: 324	Dec: 329
Enc: 327	Dec: 315
Enc: 315	Dec: 314
Enc: 316	Dec: 314
Enc: 316	Dec: 314
Enc: 317	Dec: 322
Enc: 318	Dec: 314
Enc: 325	Dec: 331
Enc: 334	Dec: 332
Enc: 327	Dec: 330
Enc: 341	Dec: 331
Enc: 324	Dec: 328
Enc: 326	Dec: 326
Enc: 331	Dec: 325
Enc: 323	Dec: 329
Enc: 325	Dec: 324
Enc: 323	Dec: 325
Enc: 327	Dec: 324
Enc: 323	Dec: 325
Enc: 328	Dec: 320
Enc: 311	Dec: 322
Enc: 311	Dec: 316
Enc: 310	Dec: 317
Enc: 310	Dec: 317
Enc: 310	Dec: 317
Enc: 311	Dec: 330
Enc: 320	Dec: 313
Enc: 317	Dec: 313
Enc: 318	Dec: 313
Enc: 319	Dec: 314
Enc: 324	Dec: 313
Enc: 321	Dec: 313
Enc: 317	Dec: 314
Enc: 319	Dec: 313
Enc: 318	Dec: 313
Enc: 319	Dec: 314
Enc: 318	Dec: 313
Enc: 318	Dec: 313
Enc: 319	Dec: 318
Enc: 318	Dec: 319
Enc: 324	Dec: 313
Enc: 319	Dec: 314
Enc: 382	Dec: 331
Enc: 332	Dec: 332
Enc: 331	Dec: 322
Enc: 319	Dec: 314
Enc: 326	Dec: 314
Enc: 324	Dec: 313
Enc: 324	Dec: 314
Enc: 330	Dec: 314
Enc: 323	Dec: 315
Enc: 327	Dec: 314
Enc: 324	Dec: 314
Enc: 322	Dec: 314
Enc: 326	Dec: 314
Enc: 319	Dec: 315
Enc: 320	Dec: 315
Enc: 321	Dec: 316
Enc: 321	Dec: 316
Enc: 321	Dec: 317
Enc: 322	Dec: 316
Enc: 319	Dec: 316
Enc: 322	Dec: 316
Enc: 318	Dec: 314
Enc: 317	Dec: 321
Enc: 321	Dec: 317
Enc: 317	Dec: 317
Enc: 318	Dec: 316
Enc: 325	Dec: 316
Enc: 320	Dec: 331
Enc: 326	Dec: 330
Enc: 328	Dec: 332
Enc: 328	Dec: 332
Enc: 327	Dec: 331
Enc: 327	Dec: 330
Enc: 327	Dec: 327
Enc: 315	Dec: 312
Enc: 315	Dec: 314
Enc: 314	Dec: 318
Enc: 312	Dec: 313
Enc: 315	Dec: 313
Enc: 315	Dec: 320
Enc: 325	Dec: 315
Enc: 316	Dec: 314
Enc: 312	Dec: 315
Enc: 312	Dec: 314
Enc: 311	Dec: 315
Enc: 311	Dec: 320
Enc: 321	Dec: 313
Enc: 322	Dec: 369
