Enc100(micros)	Dec100(micros)
Enc: 4747	Dec: 4664
Enc: 4815	Dec: 4652
Enc: 4715	Dec: 4653
Enc: 4679	Dec: 4640
Enc: 4769	Dec: 4637
Enc: 4828	Dec: 4633
Enc: 4653	Dec: 4638
Enc: 4806	Dec: 4640
Enc: 4817	Dec: 4653
Enc: 4815	Dec: 4638
Enc: 4650	Dec: 4646
Enc: 4683	Dec: 4654
Enc: 4675	Dec: 4638
Enc: 4818	Dec: 4650
Enc: 4678	Dec: 4768
Enc: 4832	Dec: 4641
Enc: 4702	Dec: 4636
Enc: 4636	Dec: 4671
Enc: 4684	Dec: 4638
Enc: 4694	Dec: 4633
Enc: 4687	Dec: 4640
Enc: 4651	Dec: 4636
Enc: 4686	Dec: 4636
Enc: 4701	Dec: 4647
Enc: 4809	Dec: 4648
Enc: 4683	Dec: 4652
Enc: 4806	Dec: 4658
Enc: 4702	Dec: 4637
Enc: 4707	Dec: 4650
Enc: 4803	Dec: 4652
Enc: 4678	Dec: 4785
Enc: 4695	Dec: 4636
Enc: 4700	Dec: 4636
Enc: 4674	Dec: 4647
Enc: 4681	Dec: 4639
Enc: 4803	Dec: 4653
Enc: 4659	Dec: 4662
Enc: 4689	Dec: 4636
Enc: 4700	Dec: 4637
Enc: 4668	Dec: 4657
Enc: 4655	Dec: 4637
Enc: 4728	Dec: 4636
Enc: 4665	Dec: 4638
Enc: 4673	Dec: 4635
Enc: 4681	Dec: 4641
Enc: 4826	Dec: 4651
Enc: 4633	Dec: 4650
Enc: 4636	Dec: 4752
Enc: 4661	Dec: 4824
Enc: 4695	Dec: 4641
Enc: 4813	Dec: 4637
Enc: 4687	Dec: 4639
Enc: 4661	Dec: 4647
Enc: 4694	Dec: 4645
Enc: 4654	Dec: 4651
Enc: 4683	Dec: 4646
Enc: 4685	Dec: 4646
Enc: 4931	Dec: 4640
Enc: 4635	Dec: 4660
Enc: 4696	Dec: 4649
Enc: 4682	Dec: 4635
Enc: 4668	Dec: 4637
Enc: 4811	Dec: 4648
Enc: 4637	Dec: 4638
Enc: 5282	Dec: 8045
Enc: 8137	Dec: 8040
Enc: 8784	Dec: 8036
Enc: 8093	Dec: 8033
Enc: 8095	Dec: 8044
Enc: 8325	Dec: 8019
Enc: 8066	Dec: 5206
Enc: 4786	Dec: 4638
Enc: 4711	Dec: 4637
Enc: 4648	Dec: 4633
Enc: 4819	Dec: 4700
Enc: 4659	Dec: 4653
Enc: 4674	Dec: 4641
Enc: 4655	Dec: 4645
Enc: 4646	Dec: 4824
Enc: 4657	Dec: 4650
Enc: 4636	Dec: 4676
Enc: 4695	Dec: 4638
Enc: 4818	Dec: 4637
Enc: 4668	Dec: 4647
Enc: 4659	Dec: 4820
Enc: 4671	Dec: 4646
Enc: 4678	Dec: 4638
Enc: 4636	Dec: 4817
Enc: 4663	Dec: 4636
Enc: 4810	Dec: 4651
Enc: 4672	Dec: 4647
Enc: 4800	Dec: 4652
Enc: 4646	Dec: 4686
Enc: 4647	Dec: 4677
Enc: 4673	Dec: 4641
Enc: 4654	Dec: 4685
Enc: 4637	Dec: 4701
Enc: 4684	Dec: 4663
Enc: 4694	Dec: 4638
Enc: 4654	Dec: 4640
