Enc100(micros)	Dec100(micros)
Enc: 162	Dec: 169
Enc: 161	Dec: 167
Enc: 173	Dec: 167
Enc: 160	Dec: 167
Enc: 159	Dec: 168
Enc: 160	Dec: 169
Enc: 160	Dec: 167
Enc: 160	Dec: 168
Enc: 160	Dec: 168
Enc: 160	Dec: 169
Enc: 160	Dec: 168
Enc: 160	Dec: 169
Enc: 160	Dec: 168
Enc: 160	Dec: 167
Enc: 167	Dec: 169
Enc: 159	Dec: 169
Enc: 162	Dec: 169
Enc: 168	Dec: 169
Enc: 162	Dec: 169
Enc: 162	Dec: 169
Enc: 165	Dec: 169
Enc: 160	Dec: 169
Enc: 160	Dec: 169
Enc: 169	Dec: 171
Enc: 161	Dec: 171
Enc: 162	Dec: 171
Enc: 166	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 171
Enc: 162	Dec: 171
Enc: 162	Dec: 171
Enc: 162	Dec: 171
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 166	Dec: 171
Enc: 162	Dec: 171
Enc: 162	Dec: 171
Enc: 162	Dec: 171
Enc: 162	Dec: 171
Enc: 162	Dec: 172
Enc: 162	Dec: 171
Enc: 161	Dec: 171
Enc: 162	Dec: 170
Enc: 162	Dec: 171
Enc: 162	Dec: 171
Enc: 162	Dec: 171
Enc: 165	Dec: 170
Enc: 162	Dec: 170
Enc: 163	Dec: 171
Enc: 164	Dec: 171
Enc: 163	Dec: 171
Enc: 163	Dec: 171
Enc: 163	Dec: 171
Enc: 163	Dec: 171
Enc: 163	Dec: 171
Enc: 163	Dec: 171
Enc: 163	Dec: 171
Enc: 163	Dec: 171
Enc: 166	Dec: 172
Enc: 163	Dec: 170
Enc: 162	Dec: 171
Enc: 163	Dec: 170
Enc: 162	Dec: 171
Enc: 163	Dec: 170
Enc: 162	Dec: 171
Enc: 162	Dec: 170
Enc: 174	Dec: 171
Enc: 163	Dec: 170
Enc: 163	Dec: 170
Enc: 162	Dec: 173
Enc: 162	Dec: 170
Enc: 161	Dec: 170
Enc: 161	Dec: 170
Enc: 163	Dec: 169
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 163	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 172
Enc: 162	Dec: 170
Enc: 163	Dec: 169
Enc: 165	Dec: 170
Enc: 162	Dec: 170
Enc: 162	Dec: 172
Enc: 162	Dec: 172
Enc: 161	Dec: 172
Enc: 162	Dec: 173
Enc: 162	Dec: 173
Enc: 162	Dec: 172
Enc: 162	Dec: 172
Enc: 161	Dec: 175
Enc: 163	Dec: 170
Enc: 163	Dec: 171
