Enc100(micros)	Dec100(micros)
Enc: 3781	Dec: 4074
Enc: 3883	Dec: 4303
Enc: 3758	Dec: 4041
Enc: 3728	Dec: 4028
Enc: 3787	Dec: 3935
Enc: 3738	Dec: 3960
Enc: 3760	Dec: 4301
Enc: 3728	Dec: 4007
Enc: 3731	Dec: 3984
Enc: 3782	Dec: 3959
Enc: 3733	Dec: 3969
Enc: 3764	Dec: 3070
Enc: 1835	Dec: 1964
Enc: 1868	Dec: 2001
Enc: 1835	Dec: 1949
Enc: 1847	Dec: 2045
Enc: 1839	Dec: 1972
Enc: 1837	Dec: 2121
Enc: 1836	Dec: 1987
Enc: 1839	Dec: 1987
Enc: 1839	Dec: 2122
Enc: 1834	Dec: 1948
Enc: 1835	Dec: 2124
Enc: 1834	Dec: 2007
Enc: 1836	Dec: 2170
Enc: 1861	Dec: 1949
Enc: 2011	Dec: 2115
Enc: 1853	Dec: 1987
Enc: 1839	Dec: 1967
Enc: 1851	Dec: 1982
Enc: 1835	Dec: 1947
Enc: 1873	Dec: 1979
Enc: 1838	Dec: 1975
Enc: 1848	Dec: 1938
Enc: 1895	Dec: 1974
Enc: 1860	Dec: 1981
Enc: 1864	Dec: 1960
Enc: 1869	Dec: 1951
Enc: 1886	Dec: 1974
Enc: 1861	Dec: 1987
Enc: 1861	Dec: 1935
Enc: 1861	Dec: 2086
Enc: 1848	Dec: 1969
Enc: 1865	Dec: 1955
Enc: 1852	Dec: 1965
Enc: 1868	Dec: 1967
Enc: 1847	Dec: 2115
Enc: 1848	Dec: 2000
Enc: 1837	Dec: 1966
Enc: 1853	Dec: 1986
Enc: 1839	Dec: 2123
Enc: 1849	Dec: 1957
Enc: 1865	Dec: 1987
Enc: 1847	Dec: 2117
Enc: 1841	Dec: 1984
Enc: 1839	Dec: 1991
Enc: 1846	Dec: 1949
Enc: 1834	Dec: 1947
Enc: 1852	Dec: 1948
Enc: 1839	Dec: 1985
Enc: 1882	Dec: 2157
Enc: 1841	Dec: 2228
Enc: 1857	Dec: 1950
Enc: 1848	Dec: 1947
Enc: 1894	Dec: 1981
Enc: 1847	Dec: 1955
Enc: 1849	Dec: 1946
Enc: 1848	Dec: 1935
Enc: 1860	Dec: 2286
Enc: 1876	Dec: 1975
Enc: 1862	Dec: 1979
Enc: 1849	Dec: 1975
Enc: 1861	Dec: 1982
Enc: 1853	Dec: 1961
Enc: 1860	Dec: 2106
Enc: 1862	Dec: 2104
Enc: 1856	Dec: 1983
Enc: 1852	Dec: 1931
Enc: 1872	Dec: 1982
Enc: 1853	Dec: 1964
Enc: 1865	Dec: 2116
Enc: 1848	Dec: 1958
Enc: 1861	Dec: 2100
Enc: 1881	Dec: 1974
Enc: 1851	Dec: 2122
Enc: 1852	Dec: 1970
Enc: 1852	Dec: 1989
Enc: 1848	Dec: 1970
Enc: 1838	Dec: 1986
Enc: 1860	Dec: 1995
Enc: 1839	Dec: 1986
Enc: 1852	Dec: 2099
Enc: 1835	Dec: 1948
Enc: 1847	Dec: 1987
Enc: 2010	Dec: 2115
Enc: 1837	Dec: 2116
Enc: 1839	Dec: 1949
Enc: 1873	Dec: 2114
Enc: 1835	Dec: 1988
